Lausanne-César-Roux
Messstation Nr.:   9
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  °         18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 22 04 00 271.8615 3.3632
2013 01 22 05 00 272.6140 3.7347
2013 01 22 06 00 268.4870 2.6003
2013 01 22 07 00 274.2820 3.3443
2013 01 22 08 00 277.2570 3.2446
2013 01 22 09 00 273.5845 2.7769
2013 01 22 10 00 277.0812 2.6997
2013 01 22 11 00 276.8701 2.6932
2013 01 22 12 00 269.8330 2.2964
2013 01 22 13 00 262.3029 1.7774
2013 01 22 14 00 258.4063 1.2825
2013 01 22 15 00 268.1431 1.1243
2013 01 22 16 00 273.8383 1.0332
2013 01 22 17 00 251.9759 0.8240
2013 01 22 18 00 125.0494 0.7296
2013 01 22 19 00 94.1330 0.6978
2013 01 22 20 00 16.0872 0.4468
2013 01 22 21 00 329.4087 0.1343
2013 01 22 22 00 64.4292 0.4208
2013 01 22 23 00 253.0063 0.3578
2013 01 22 24 00 98.7394 0.3972
2013 01 23 01 00 25.0960 0.3686
2013 01 23 02 00 90.0816 0.8044
2013 01 23 03 00 84.0842 0.4432
2013 01 23 04 00 31.0977 0.3775
2013 01 23 05 00 94.1375 0.8424
2013 01 23 06 00 22.9389 0.8485
2013 01 23 07 00 310.2545 0.9228
2013 01 23 08 00 94.7628 0.8908
2013 01 23 09 00 163.7235 0.3413
2013 01 23 10 00 181.5216 0.6526
2013 01 23 11 00 153.5516 0.7153
2013 01 23 12 00 173.0515 0.8526
2013 01 23 13 00 261.5617 0.9861
2013 01 23 14 00 203.9933 0.8869
2013 01 23 15 00 226.9121 0.6854
2013 01 23 16 00 252.6685 0.9282
2013 01 23 17 00 261.5014 0.8953
2013 01 23 18 00 112.7696 0.7496
2013 01 23 19 00 90.6743 0.6772
2013 01 23 20 00 94.7181 0.6890
2013 01 23 21 00 83.0484 0.5219
2013 01 23 22 00 104.4940 0.5658
2013 01 23 23 00 90.9466 0.7685
2013 01 23 24 00 89.0649 0.7043
2013 01 24 01 00 94.1825 0.5864
2013 01 24 02 00 93.5639 0.7194
2013 01 24 03 00 121.3974 0.7583
2013 01 24 04 00 144.0862 0.8746
2013 01 24 05 00 114.3560 0.8672
2013 01 24 06 00 124.2346 1.1176
2013 01 24 07 00 110.8919 1.1294
2013 01 24 08 00 191.7347 1.0290
2013 01 24 09 00 205.0895 1.3681
2013 01 24 10 00 237.3349 1.1575
2013 01 24 11 00 107.8590 1.3015
2013 01 24 12 00 10.1651 1.2453
